Datetime,Solar_Radiation_W_m2,Wind_Speed_10m_m_s,Temperature_2m_C,Load_kW,Solar_Power_kW,Wind_Power_kW,Net_Power_kW,Total_Generated_Power_kW,Battery_Energy_kWh,Battery_SoC_%,Unmet_Load_kWh,Dumped_Energy_kWh
2023-01-01 00:00:00,0.0,2.54,-0.94,0.0,0.0,0.0702595369,0.0702595369,0.0702595369,20.0,100.0,0.0,0.07025953690000009
2023-01-01 01:00:00,0.0,2.45,-1.43,0.0,0.0,0.06305251093750001,0.06305251093750001,0.06305251093750001,20.0,100.0,0.0,0.0630525109374993
2023-01-01 02:00:00,0.0,2.18,-1.22,0.0,0.0,0.0444194947,0.0444194947,0.0444194947,20.0,100.0,0.0,0.044419494700001394
2023-01-01 03:00:00,0.0,2.85,-0.5,0.0,0.0,0.0992518734375,0.0992518734375,0.0992518734375,20.0,100.0,0.0,0.09925187343749897
2023-01-01 04:00:00,0.0,2.77,-0.84,0.0,0.0,0.09112623773749999,0.09112623773749999,0.09112623773749999,20.0,100.0,0.0,0.09112623773750173
2023-01-01 05:00:00,0.0,2.5,-1.16,0.0,0.0,0.0669921875,0.0669921875,0.0669921875,20.0,100.0,0.0,0.06699218749999858
2023-01-01 06:00:00,0.0,2.28,-1.46,5.0,0.0,0.05081695919999998,-4.9491830408,0.05081695919999998,15.050816959199999,75.254084796,0.0,0.0
2023-01-01 07:00:00,14.75,2.33,-1.66,5.0,0.1475,0.0542340323875,-4.7982659676125,0.20173403238749998,10.252550991587498,51.26275495793748,0.0,0.0
2023-01-01 08:00:00,145.52,2.52,-0.71,5.0,1.4552,0.0686128968,-3.4761871032,1.5238128968,6.776363888387498,33.88181944193749,0.0,0.0
2023-01-01 09:00:00,294.52,2.81,1.82,0.0,2.9452,0.0951312257875,3.0403312257875,3.0403312257875,9.816695114174998,49.08347557087499,0.0,0.0
2023-01-01 10:00:00,407.05,3.94,5.12,0.0,4.0705,0.2622362939,4.3327362939,4.3327362939,14.149431408074998,70.74715704037499,0.0,0.0
2023-01-01 11:00:00,468.48,4.59,6.94,0.0,4.6848,0.41461230746249994,5.0994123074625,5.0994123074625,19.248843715537497,96.24421857768748,0.0,0.0
2023-01-01 12:00:00,468.45,4.83,7.93,0.0,4.6845,0.48310944176250004,5.1676094417625,5.1676094417625,20.0,100.0,0.0,4.416453157299998
2023-01-01 13:00:00,413.7,4.9,8.39,0.0,4.137,0.5044200875000001,4.641420087499999,4.641420087499999,20.0,100.0,0.0,4.6414200874999985
2023-01-01 14:00:00,306.05,4.82,8.22,0.0,3.0605,0.48011497030000005,3.5406149703,3.5406149703,20.0,100.0,0.0,3.5406149702999983
2023-01-01 15:00:00,158.48,3.8,6.96,0.0,1.5848,0.23526369999999994,1.8200637,1.8200637,20.0,100.0,0.0,1.8200636999999986
2023-01-01 16:00:00,19.62,3.01,2.41,0.0,0.1962,0.11692398803749997,0.31312398803749997,0.31312398803749997,20.0,100.0,0.0,0.31312398803749986
2023-01-01 17:00:00,0.0,3.2,0.56,0.0,0.0,0.14049280000000003,0.14049280000000003,0.14049280000000003,20.0,100.0,0.0,0.14049280000000053
2023-01-01 18:00:00,0.0,3.15,-0.25,5.0,0.0,0.13400956406249998,-4.8659904359375,0.13400956406249998,15.134009564062499,75.67004782031249,0.0,0.0
2023-01-01 19:00:00,0.0,3.14,-0.97,5.0,0.0,0.13273732989999998,-4.8672626701,0.13273732989999998,10.266746893962498,51.333734469812484,0.0,0.0
