Datetime,Solar_Radiation_W_m2,Wind_Speed_10m_m_s,Temperature_2m_C
2023-01-01 00:00:00,0.0,2.54,-0.94
2023-01-01 01:00:00,0.0,2.45,-1.43
2023-01-01 02:00:00,0.0,2.18,-1.22
2023-01-01 03:00:00,0.0,2.85,-0.5
2023-01-01 04:00:00,0.0,2.77,-0.84
2023-01-01 05:00:00,0.0,2.5,-1.16
2023-01-01 06:00:00,0.0,2.28,-1.46
2023-01-01 07:00:00,14.75,2.33,-1.66
2023-01-01 08:00:00,145.52,2.52,-0.71
2023-01-01 09:00:00,294.52,2.81,1.82
2023-01-01 10:00:00,407.05,3.94,5.12
2023-01-01 11:00:00,468.48,4.59,6.94
2023-01-01 12:00:00,468.45,4.83,7.93
2023-01-01 13:00:00,413.7,4.9,8.39
2023-01-01 14:00:00,306.05,4.82,8.22
2023-01-01 15:00:00,158.48,3.8,6.96
2023-01-01 16:00:00,19.62,3.01,2.41
2023-01-01 17:00:00,0.0,3.2,0.56
2023-01-01 18:00:00,0.0,3.15,-0.25
2023-01-01 19:00:00,0.0,3.14,-0.97
2023-01-01 20:00:00,0.0,3.18,-1.65
2023-01-01 21:00:00,0.0,3.24,-2.34
2023-01-01 22:00:00,0.0,3.29,-2.98
2023-01-01 23:00:00,0.0,3.3,-3.43
2023-01-02 00:00:00,0.0,3.28,-3.84
2023-01-02 01:00:00,0.0,3.26,-4.14
2023-01-02 02:00:00,0.0,3.21,-4.4
2023-01-02 03:00:00,0.0,3.11,-4.65
2023-01-02 04:00:00,0.0,3.02,-4.84
2023-01-02 05:00:00,0.0,3.05,-4.87
2023-01-02 06:00:00,0.0,3.16,-4.72
2023-01-02 07:00:00,17.83,3.32,-4.0
2023-01-02 08:00:00,159.93,4.74,-0.73
2023-01-02 09:00:00,315.73,4.06,2.1
2023-01-02 10:00:00,431.4,4.28,5.25
2023-01-02 11:00:00,493.6,3.96,7.39
2023-01-02 12:00:00,493.65,3.52,8.92
2023-01-02 13:00:00,437.5,3.05,9.38
2023-01-02 14:00:00,322.33,2.86,9.11
2023-01-02 15:00:00,167.73,2.19,6.24
2023-01-02 16:00:00,22.05,3.16,0.92
2023-01-02 17:00:00,0.0,3.61,-1.32
2023-01-02 18:00:00,0.0,3.73,-2.16
2023-01-02 19:00:00,0.0,3.78,-2.76
2023-01-02 20:00:00,0.0,3.73,-3.13
2023-01-02 21:00:00,0.0,3.61,-3.3
2023-01-02 22:00:00,0.0,3.44,-3.4
2023-01-02 23:00:00,0.0,3.22,-3.49
2023-01-03 00:00:00,0.0,3.04,-3.61
2023-01-03 01:00:00,0.0,2.91,-3.68
2023-01-03 02:00:00,0.0,2.8,-3.71
2023-01-03 03:00:00,0.0,2.7,-3.74
2023-01-03 04:00:00,0.0,2.64,-3.79
2023-01-03 05:00:00,0.0,2.71,-3.82
2023-01-03 06:00:00,0.0,2.81,-3.76
2023-01-03 07:00:00,17.27,2.83,-3.2
2023-01-03 08:00:00,156.43,3.02,0.7
2023-01-03 09:00:00,309.25,3.3,3.38
2023-01-03 10:00:00,426.33,2.95,6.11
2023-01-03 11:00:00,489.62,2.91,9.39
2023-01-03 12:00:00,493.33,2.67,10.45
2023-01-03 13:00:00,439.58,2.46,10.66
2023-01-03 14:00:00,319.6,2.05,9.99
2023-01-03 15:00:00,166.82,2.13,6.16
2023-01-03 16:00:00,22.08,3.05,1.1
2023-01-03 17:00:00,0.0,3.4,-1.46
2023-01-03 18:00:00,0.0,3.48,-2.5
2023-01-03 19:00:00,0.0,3.43,-2.9
2023-01-03 20:00:00,0.0,3.3,-2.88
2023-01-03 21:00:00,0.0,3.12,-2.49
2023-01-03 22:00:00,0.0,2.83,-1.65
2023-01-03 23:00:00,0.0,2.6,-0.8
2023-01-04 00:00:00,0.0,2.58,-0.46
2023-01-04 01:00:00,0.0,2.64,-0.61
2023-01-04 02:00:00,0.0,2.68,-0.91
2023-01-04 03:00:00,0.0,2.66,-1.26
2023-01-04 04:00:00,0.0,2.61,-1.51
2023-01-04 05:00:00,0.0,2.4,-1.36
2023-01-04 06:00:00,0.0,2.11,-1.03
2023-01-04 07:00:00,15.25,1.93,-0.7
2023-01-04 08:00:00,151.73,1.74,1.7
2023-01-04 09:00:00,309.77,2.09,3.99
2023-01-04 10:00:00,424.15,2.57,6.84
2023-01-04 11:00:00,484.0,3.25,8.39
2023-01-04 12:00:00,482.67,3.91,9.24
2023-01-04 13:00:00,428.0,4.3,9.25
2023-01-04 14:00:00,315.7,4.35,8.62
2023-01-04 15:00:00,164.75,3.0,6.18
2023-01-04 16:00:00,22.45,3.23,1.37
2023-01-04 17:00:00,0.0,3.66,-0.29
2023-01-04 18:00:00,0.0,3.71,-0.73
2023-01-04 19:00:00,0.0,3.46,-0.82
2023-01-04 20:00:00,0.0,3.51,0.79
